ProductName,ProductNumber,Domain,LanguageCode,URL(oldwebsite),URL(currentwebsite)
Aclasta,EMEA/H/C/000595,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/000595/WC500020940.pdf,https://www.ema.europa.eu/en/documents/product-information/aclasta-epar-product-information_en.pdf
Acomplia,EMEA/H/C/000666,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/000666/WC500021287.pdf,https://www.ema.europa.eu/en/documents/product-information/acomplia-epar-product-information_en.pdf
ActelsarHCT,EMEA/H/C/002676,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/002676/WC500140789.pdf,https://www.ema.europa.eu/en/documents/product-information/actelsar-hct-epar-product-information_en.pdf
Acticam,EMEA/V/C/000138,veterinary,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/veterinary/000138/WC500062804.pdf,https://www.ema.europa.eu/en/documents/product-information/acticam-epar-product-information_en.pdf
Activyl,EMEA/V/C/000163,veterinary,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/veterinary/000163/WC500102510.pdf,https://www.ema.europa.eu/en/documents/product-information/activyl-epar-product-information_en.pdf
ActivylTickPlus,EMEA/V/C/002234,veterinary,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/veterinary/002234/WC500120993.pdf,https://www.ema.europa.eu/en/documents/product-information/activyl-tick-plus-epar-product-information_en.pdf
Actos,EMEA/H/C/000285,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/000285/WC500021386.pdf,https://www.ema.europa.eu/en/documents/product-information/actos-epar-product-information_en.pdf
Actraphane,EMEA/H/C/000427,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/000427/WC500025433.pdf,https://www.ema.europa.eu/en/documents/product-information/actraphane-epar-product-information_en.pdf
Actrapid,EMEA/H/C/000424,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/000424/WC500021658.pdf,https://www.ema.europa.eu/en/documents/product-information/actrapid-epar-product-information_en.pdf
Adakveo,EMEA/H/C/004874,human,en,,https://www.ema.europa.eu/en/documents/product-information/adakveo-epar-product-information_en.pdf
Adasuve,EMEA/H/C/002400,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/002400/WC500139409.pdf,https://www.ema.europa.eu/en/documents/product-information/adasuve-epar-product-information_en.pdf
Adcetris,EMEA/H/C/002455,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/002455/WC500135055.pdf,https://www.ema.europa.eu/en/documents/product-information/adcetris-epar-product-information_en.pdf
Adcirca(previouslyTadalafilLilly),EMEA/H/C/001021,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/001021/WC500032789.pdf,https://www.ema.europa.eu/en/documents/product-information/adcirca-epar-product-information_en.pdf
Adempas,EMEA/H/C/002737,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/002737/WC500165034.pdf,https://www.ema.europa.eu/en/documents/product-information/adempas-epar-product-information_en.pdf
Adenuric,EMEA/H/C/000777,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/000777/WC500021812.pdf,https://www.ema.europa.eu/en/documents/product-information/adenuric-epar-product-information_en.pdf
"Adjupanrix(previouslyPandemicinfluenzavaccine(H5N1)(splitvirion,inactivated,adjuvanted)GlaxoSmithKlineBiologicals)",EMEA/H/C/001206,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/001206/WC500049544.pdf,https://www.ema.europa.eu/en/documents/product-information/adjupanrix-previously-pandemic-influenza-vaccine-h5n1-split-virion-inactivated-adjuvanted_en.pdf
Adrovance,EMEA/H/C/000759,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/000759/WC500022038.pdf,https://www.ema.europa.eu/en/documents/product-information/adrovance-epar-product-information_en.pdf
Adtralza,EMEA/H/C/005255,human,en,,https://www.ema.europa.eu/documents/product-information/adtralza-epar-product-information_en.pdf
Advagraf,EMEA/H/C/000712,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/000712/WC500022234.pdf,https://www.ema.europa.eu/en/documents/product-information/advagraf-epar-product-information_en.pdf
Advasure,EMEA/V/C/000053,veterinary,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/veterinary/000053/WC500060864.pdf,https://www.ema.europa.eu/en/documents/product-information/advasure-epar-product-information_en.pdf
Advate,EMEA/H/C/000520,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/000520/WC500022467.pdf,https://www.ema.europa.eu/en/documents/product-information/advate-epar-product-information_en.pdf
Advocate,EMEA/V/C/000076,veterinary,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/veterinary/000076/WC500060917.pdf,https://www.ema.europa.eu/en/documents/product-information/advocate-epar-product-information_en.pdf
Adynovi,EMEA/H/C/004195,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/004195/WC500243895.pdf,https://www.ema.europa.eu/en/documents/product-information/adynovi-epar-product-information_en.pdf
Aerinaze,EMEA/H/C/000772,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/000772/WC500022578.pdf,https://www.ema.europa.eu/en/documents/product-information/aerinaze-epar-product-information_en.pdf
Aerius,EMEA/H/C/000313,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/000313/WC500025540.pdf,https://www.ema.europa.eu/en/documents/product-information/aerius-epar-product-information_en.pdf
AerivioSpiromax,EMEA/H/C/002752,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/002752/WC500212329.pdf,https://www.ema.europa.eu/en/documents/product-information/aerivio-spiromax-epar-product-information_en.pdf
Afinitor,EMEA/H/C/001038,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/001038/WC500022814.pdf,https://www.ema.europa.eu/en/documents/product-information/afinitor-epar-product-information_en.pdf
Aflunov,EMEA/H/C/002094,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/002094/WC500101080.pdf,https://www.ema.europa.eu/en/documents/product-information/aflunov-epar-product-information_en.pdf
Afstyla,EMEA/H/C/004075,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/004075/WC500224591.pdf,https://www.ema.europa.eu/en/documents/product-information/afstyla-epar-product-information_en.pdf
AftovaxpurDOE,EMEA/V/C/002292,veterinary,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/veterinary/002292/WC500147985.pdf,https://www.ema.europa.eu/en/documents/product-information/aftovaxpur-doe-epar-product-information_en.pdf
Agenerase,EMEA/H/C/000264,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/000264/WC500022929.pdf,https://www.ema.europa.eu/en/documents/product-information/agenerase-epar-product-information_en.pdf
Aimovig,EMEA/H/C/004447,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/004447/WC500253553.pdf,https://www.ema.europa.eu/en/documents/product-information/aimovig-epar-product-information_en.pdf
AirexarSpiromax,EMEA/H/C/004267,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/004267/WC500212409.pdf,https://www.ema.europa.eu/en/documents/product-information/airexar-spiromax-epar-product-information_en.pdf
Aivlosin,EMEA/V/C/000083,veterinary,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/veterinary/000083/WC500061063.pdf,https://www.ema.europa.eu/en/documents/product-information/aivlosin-epar-product-information_en.pdf
Ajovy,EMEA/H/C/004833,human,en,,https://www.ema.europa.eu/en/documents/product-information/ajovy-epar-product-information_en.pdf
Akynzeo,EMEA/H/C/003728,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/003728/WC500188432.pdf,https://www.ema.europa.eu/en/documents/product-information/akynzeo-epar-product-information_en.pdf
Aldara,EMEA/H/C/000179,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/000179/WC500023122.pdf,https://www.ema.europa.eu/en/documents/product-information/aldara-epar-product-information_en.pdf
Aldurazyme,EMEA/H/C/000477,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/000477/WC500023378.pdf,https://www.ema.europa.eu/en/documents/product-information/aldurazyme-epar-product-information_en.pdf
Alecensa,EMEA/H/C/004164,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/004164/WC500225707.pdf,https://www.ema.europa.eu/en/documents/product-information/alecensa-epar-product-information_en.pdf
Alimta,EMEA/H/C/000564,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/000564/WC500025611.pdf,https://www.ema.europa.eu/en/documents/product-information/alimta-epar-product-information_en.pdf
Alisade,EMEA/H/C/001019,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/001019/WC500023902.pdf,https://www.ema.europa.eu/en/documents/product-information/alisade-epar-product-information_en.pdf
Alkindi,EMEA/H/C/004416,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/004416/WC500244749.pdf,https://www.ema.europa.eu/en/documents/product-information/alkindi-epar-product-information_en.pdf
Alli(previouslyOrlistatGSK),EMEA/H/C/000854,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/000854/WC500024120.pdf,https://www.ema.europa.eu/en/documents/product-information/alli-epar-product-information_en.pdf
Alofisel,EMEA/H/C/004258,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/004258/WC500246474.pdf,https://www.ema.europa.eu/en/documents/product-information/alofisel-epar-product-information_en.pdf
Aloxi,EMEA/H/C/000563,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/000563/WC500024259.pdf,https://www.ema.europa.eu/en/documents/product-information/aloxi-epar-product-information_en.pdf
Alpivab,EMEA/H/C/004299,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/004299/WC500247878.pdf,https://www.ema.europa.eu/en/documents/product-information/alpivab-epar-product-information_en.pdf
Alprolix,EMEA/H/C/004142,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/004142/WC500207015.pdf,https://www.ema.europa.eu/en/documents/product-information/alprolix-epar-product-information_en.pdf
Altargo,EMEA/H/C/000757,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/000757/WC500024409.pdf,https://www.ema.europa.eu/en/documents/product-information/altargo-epar-product-information_en.pdf
Alunbrig,EMEA/H/C/004248,human,en,,https://www.ema.europa.eu/documents/product-information/alunbrig-epar-product-information_en.pdf
Alymsys,EMEA/H/C/005286,human,en,,https://www.ema.europa.eu/en/documents/product-information/alymsys-epar-product-information_en.pdf
Ambirix,EMEA/H/C/000426,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/000426/WC500024579.pdf,https://www.ema.europa.eu/en/documents/product-information/ambirix-epar-product-information_en.pdf
Ambrisentan Mylan,EMEA/H/C/004985,human,en,,https://www.ema.europa.eu/en/documents/product-information/ambrisentan-mylan-epar-product-information_en.pdf
Ameluz,EMEA/H/C/002204,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/002204/WC500120044.pdf,https://www.ema.europa.eu/en/documents/product-information/ameluz-epar-product-information_en.pdf
Amgevita,EMEA/H/C/004212,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/004212/WC500225278.pdf,https://www.ema.europa.eu/en/documents/product-information/amgevita-epar-product-information_en.pdf
Amglidia,EMEA/H/C/004379,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/004379/WC500250425.pdf,https://www.ema.europa.eu/en/documents/product-information/amglidia-epar-product-information_en.pdf
Amifampridine SERB,EMEA/H/C/005839,human,en,,https://www.ema.europa.eu/en/documents/product-information/amifampridine-serb-epar-product-information_en.pdf
Amlodipine/ValsartanMylan,EMEA/H/C/004037,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/004037/WC500204382.pdf,https://www.ema.europa.eu/en/documents/product-information/amlodipine/valsartan-mylan-epar-product-information_en.pdf
Ammonaps,EMEA/H/C/000219,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/000219/WC500024753.pdf,https://www.ema.europa.eu/en/documents/product-information/ammonaps-epar-product-information_en.pdf
Amsparity,EMEA/H/C/004879,human,en,,https://www.ema.europa.eu/en/documents/product-information/amsparity-epar-product-information_en.pdf
Amvuttra,EMEA/H/C/005852,human,en,,https://www.ema.europa.eu/en/documents/product-information/amvuttra-epar-product-information_en.pdf
Amyvid,EMEA/H/C/002422,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/002422/WC500137635.pdf,https://www.ema.europa.eu/en/documents/product-information/amyvid-epar-product-information_en.pdf
AnagrelideMylan,EMEA/H/C/004585,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/004585/WC500244506.pdf,https://www.ema.europa.eu/en/documents/product-information/anagrelide-mylan-epar-product-information_en.pdf
Angiox,EMEA/H/C/000562,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/000562/WC500025076.pdf,https://www.ema.europa.eu/en/documents/product-information/angiox-epar-product-information_en.pdf
AnoroEllipta(previouslyAnoro),EMEA/H/C/002751,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/002751/WC500168424.pdf,https://www.ema.europa.eu/documents/product-information/anoro-ellipta-epar-product-information_en.pdf
Apealea,EMEA/H/C/004154,human,en,,https://www.ema.europa.eu/documents/product-information/apealea-epar-product-information_en.pdf
Apexxnar,EMEA/H/C/005451,human,en,,https://www.ema.europa.eu/en/documents/product-information/apexxnar-epar-product-information_en.pdf
Apidra,EMEA/H/C/000557,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/000557/WC500025250.pdf,https://www.ema.europa.eu/en/documents/product-information/apidra-epar-product-information_en.pdf
Apixaban Accord,EMEA/H/C/005358,human,en,,https://www.ema.europa.eu/en/documents/product-information/apixaban-accord-epar-product-information_en.pdf
Apoquel,EMEA/V/C/002688,veterinary,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/veterinary/002688/WC500152091.pdf,https://www.ema.europa.eu/en/documents/product-information/apoquel-epar-product-information_en.pdf
Aprovel,EMEA/H/C/000141,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/000141/WC500025752.pdf,https://www.ema.europa.eu/en/documents/product-information/aprovel-epar-product-information_en.pdf
Aptivus,EMEA/H/C/000631,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/000631/WC500025936.pdf,https://www.ema.europa.eu/en/documents/product-information/aptivus-epar-product-information_en.pdf
Aranesp,EMEA/H/C/000332,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/000332/WC500026149.pdf,https://www.ema.europa.eu/en/documents/product-information/aranesp-epar-product-information_en.pdf
Arava,EMEA/H/C/000235,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/000235/WC500026289.pdf,https://www.ema.europa.eu/en/documents/product-information/arava-epar-product-information_en.pdf
Arepanrix,EMEA/H/C/001201,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/001201/WC500089737.pdf,https://www.ema.europa.eu/en/documents/product-information/arepanrix-epar-product-information_en.pdf
Ariclaim,EMEA/H/C/000552,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/000552/WC500026750.pdf,https://www.ema.europa.eu/en/documents/product-information/ariclaim-epar-product-information_en.pdf
Arikayce liposomal,EMEA/H/C/005264,human,en,,https://www.ema.europa.eu/en/documents/product-information/arikayce-liposomal-product-information_en.pdf
Aripiprazole Accord,EMEA/H/C/004021,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/004021/WC500197143.pdf,https://www.ema.europa.eu/en/documents/product-information/aripiprazole-accord-epar-product-information_en.pdf
Aripiprazole Mylan Pharma (previously Aripiprazole Pharmathen),EMEA/H/C/003803,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/003803/WC500190100.pdf,https://www.ema.europa.eu/en/documents/product-information/aripiprazole-mylan-pharma-epar-product-information_en.pdf
Aripiprazole Zentiva,EMEA/H/C/003899,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/003899/WC500191043.pdf,https://www.ema.europa.eu/en/documents/product-information/aripiprazole-zentiva-epar-product-information_en.pdf
AripiprazoleSandoz,EMEA/H/C/004008,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/004008/WC500194194.pdf,https://www.ema.europa.eu/en/documents/product-information/aripiprazole-sandoz-epar-product-information_en.pdf
Arixtra,EMEA/H/C/000403,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/000403/WC500027746.pdf,https://www.ema.europa.eu/en/documents/product-information/arixtra-epar-product-information_en.pdf
Armisarte (previously Pemetrexed Actavis),EMEA/H/C/004109,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/004109/WC500200456.pdf,https://www.ema.europa.eu/en/documents/product-information/armisarte-epar-product-information_en.pdf
Arsenic trioxide Accord,EMEA/H/C/005175,human,en,,https://www.ema.europa.eu/en/documents/product-information/arsenic-trioxide-accord-epar-product-information_en.pdf
Arsenic trioxide medac,EMEA/H/C/005218,human,en,,https://www.ema.europa.eu/en/documents/product-information/arsenic-trioxide-medac-epar-product-information_en.pdf
Arsenic trioxide Mylan,EMEA/H/C/005235,human,en,,https://www.ema.europa.eu/en/documents/product-information/arsenic-trioxide-mylan-epar-product-information_en.pdf
Artesunate Amivas,EMEA/H/C/005550,human,en,,https://www.ema.europa.eu/documents/product-information/artesunate-amivas-epar-product-information_en.pdf
Arti-Cell Forte,EMEA/V/C/004727,veterinary,en,,https://www.ema.europa.eu/en/documents/product-information/arti-cell-forte-epar-product-information_en.pdf
Arzerra,EMEA/H/C/001131,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/001131/WC500093091.pdf,https://www.ema.europa.eu/en/documents/product-information/arzerra-epar-product-information_en.pdf
Aservo EquiHaler,EMEA/V/C/004991,veterinary,en,,https://www.ema.europa.eu/en/documents/product-information/aservo-equihaler-epar-product-information_en.pdf
Aspaveli,EMEA/H/C/005553,human,en,,https://www.ema.europa.eu/en/documents/product-information/aspaveli-epar-product-information_en.pdf
Atazanavir Krka,EMEA/H/C/004859,human,en,,https://www.ema.europa.eu/en/documents/product-information/atazanavir-krka-epar-product-information_en.pdf
Atazanavir Mylan,EMEA/H/C/004048,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/004048/WC500220523.pdf,https://www.ema.europa.eu/en/documents/product-information/atazanavir-mylan-epar-product-information_en.pdf
Atectura Breezhaler,EMEA/H/C/005067,human,en,,https://www.ema.europa.eu/en/documents/product-information/atectura-breezhaler-epar-product-information_en.pdf
Atosiban SUN,EMEA/H/C/002329,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/002329/WC500147297.pdf,https://www.ema.europa.eu/en/documents/product-information/atosiban-sun-epar-product-information_en.pdf
Atriance,EMEA/H/C/000752,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/000752/WC500027918.pdf,https://www.ema.europa.eu/en/documents/product-information/atriance-epar-product-information_en.pdf
Atripla,EMEA/H/C/000797,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/000797/WC500028102.pdf,https://www.ema.europa.eu/en/documents/product-information/atripla-epar-product-information_en.pdf
ATryn,EMEA/H/C/000587,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/000587/WC500028260.pdf,https://www.ema.europa.eu/en/documents/product-information/atryn-epar-product-information_en.pdf
Aubagio,EMEA/H/C/002514,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/002514/WC500148682.pdf,https://www.ema.europa.eu/en/documents/product-information/aubagio-epar-product-information_en.pdf
Avaglim,EMEA/H/C/000675,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/000675/WC500028523.pdf,https://www.ema.europa.eu/en/documents/product-information/avaglim-epar-product-information_en.pdf
Avamys,EMEA/H/C/000770,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/000770/WC500028814.pdf,https://www.ema.europa.eu/en/documents/product-information/avamys-epar-product-information_en.pdf
Avandamet,EMEA/H/C/000522,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/000522/WC500028921.pdf,https://www.ema.europa.eu/en/documents/product-information/avandamet-epar-product-information_en.pdf
Avandia,EMEA/H/C/000268,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/000268/WC500029108.pdf,https://www.ema.europa.eu/en/documents/product-information/avandia-epar-product-information_en.pdf
Avastin,EMEA/H/C/000582,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/000582/WC500029271.pdf,https://www.ema.europa.eu/en/documents/product-information/avastin-epar-product-information_en.pdf
Avonex,EMEA/H/C/000102,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/000102/WC500029425.pdf,https://www.ema.europa.eu/en/documents/product-information/avonex-epar-product-information_en.pdf
Axumin,EMEA/H/C/004197,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/004197/WC500230834.pdf,https://www.ema.europa.eu/en/documents/product-information/axumin-epar-product-information_en.pdf
Axura,EMEA/H/C/000378,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/000378/WC500029678.pdf,https://www.ema.europa.eu/en/documents/product-information/axura-epar-product-information_en.pdf
Aybintio,EMEA/H/C/005106,human,en,,https://www.ema.europa.eu/en/documents/product-information/aybintio-epar-product-information_en.pdf
Ayvakyt,EMEA/H/C/005208,human,en,,https://www.ema.europa.eu/en/documents/product-information/ayvakyt-epar-product-information_en.pdf
Azacitidine Accord,EMEA/H/C/005147,human,en,,https://www.ema.europa.eu/en/documents/product-information/azacitidine-accord-epar-product-information_en.pdf
Azacitidine betaparm,EMEA/H/C/005075,human,en,,https://www.ema.europa.eu/en/documents/product-information/azacitidine-betapharm-epar-product-information_en.pdf
Azacitidine Celgene,EMEA/H/C/005300,human,en,,https://www.ema.europa.eu/en/documents/product-information/azacitidine-celgene-epar-product-information_en.pdf
Azacitidine Mylan,EMEA/H/C/004984,human,en,,https://www.ema.europa.eu/en/documents/product-information/azacitidine-mylan-epar-product-information_en.pdf
Azarga,EMEA/H/C/000960,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/000960/WC500029827.pdf,https://www.ema.europa.eu/en/documents/product-information/azarga-epar-product-information_en.pdf
Azilect,EMEA/H/C/000574,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/000574/WC500030048.pdf,https://www.ema.europa.eu/en/documents/product-information/azilect-epar-product-information_en.pdf
Azomyr,EMEA/H/C/000310,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/000310/WC500030164.pdf,https://www.ema.europa.eu/en/documents/product-information/azomyr-epar-product-information_en.pdf
Azopt,EMEA/H/C/000267,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/000267/WC500030367.pdf,https://www.ema.europa.eu/en/documents/product-information/azopt-epar-product-information_en.pdf
Baqsimi,EMEA/H/C/003848,human,en,,https://www.ema.europa.eu/en/documents/product-information/baqsimi-epar-product-information_en.pdf
Baraclude,EMEA/H/C/000623,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/000623/WC500051984.pdf,https://www.ema.europa.eu/en/documents/product-information/baraclude-epar-product-information_en.pdf
Bavencio,EMEA/H/C/004338,human,en,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/004338/WC500236647.pdf,https://www.ema.europa.eu/en/documents/product-information/bavencio-epar-product-information_en.pdf
Baycox Iron,EMEA/V/C/004794,veterinary,en,,https://www.ema.europa.eu/documents/product-information/baycox-iron-epar-product-information_en.pdf
